Name,Spectral Type,Stellar Effective Temperature [K],Stellar Radius [Solar Radius],Stellar Mass [Solar mass],Stellar Luminosity [log(Solar)],Stellar Surface Gravity [log10(cm/s**2)],Stellar Age [Gyr]
Kepler-1513,,5617,0.97,0.99,-0.17,4.46,3.98
Kepler-1515,,6511,1.41,1.3,0.566,4.26,1.82
Kepler-1516,,5904,1.07,1.04,0.446,4.4,4.07
Kepler-1517,,7010,1.95,1.58,0.879,4.06,1.38
Kepler-1518,,6846,1.88,1.54,0.691,4.08,1.48
Kepler-1519,,5644,0.91,0.94,0.326,4.5,3.98
Kepler-1520,,4677,0.71,0.76,-0.673,4.61,4.47
Kepler-1521,,5042,0.76,0.81,-0.569,4.59,4.47
Kepler-1522,,5706,0.93,0.96,0.092,4.49,3.89
Kepler-1523,,5708,0.96,0.97,-0.099,4.46,4.37
Kepler-1524,,6179,1.25,1.17,-0.006,4.31,2.88
Kepler-1525,,5748,1.04,1.07,-0.011,4.44,2.82
Kepler-1526,,4601,0.69,0.73,-0.707,4.62,4.68
Kepler-1527,,6224,1.32,1.21,0.482,4.27,2.82
Kepler-1528,,5857,1.03,1.03,-0.064,4.43,3.89
Kepler-1529,,5048,0.77,0.81,-0.52,4.58,4.79
Kepler-1531,,6260,1.27,1.16,0.304,4.29,2.82
